Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
33,66,33,Sandy,Barley,17,19,13,17-17-17
31,67,43,Clayey,Paddy,10,0,21,28-28
29,54,36,Black,Oil seeds,17,1,11,20-20
29,57,44,Clayey,Pulses,11,16,35,14-35-14
28,62,59,Loamy,Sugarcane,20,6,16,DAP
34,62,43,Clayey,Paddy,22,8,20,28-28
31,60,31,Red,Tobacco,8,26,30,10-26-26
33,64,45,Sandy,Barley,8,29,25,10-26-26
32,60,65,Black,Cotton,16,13,34,14-35-14
29,56,29,Black,Oil seeds,26,2,10,20-20
33,59,62,Red,Cotton,21,0,0,Urea
27,57,65,Loamy,Sugarcane,17,12,38,14-35-14
25,61,54,Black,Sugarcane,21,5,0,Urea
32,68,31,Red,Tobacco,8,7,21,28-28
29,63,29,Clayey,Pulses,14,13,34,14-35-14
27,57,51,Loamy,Wheat,34,21,41,28-28
22,61,29,Red,Ground Nuts,21,1,10,Urea
30,52,27,Black,Oil seeds,12,9,16,DAP
28,50,37,Sandy,Barley,8,0,49,28-28
34,62,32,Black,Oil seeds,14,13,30,14-35-14
33,58,41,Sandy,Maize,14,15,33,14-35-14
36,61,38,Clayey,Paddy,4,15,39,28-28
36,53,61,Red,Cotton,14,17,31,14-35-14
33,47,63,Black,Cotton,14,19,21,17-17-17
32,61,31,Red,Tobacco,30,16,25,28-28
30,58,34,Black,Millets,24,3,18,28-28
32,55,49,Loamy,Wheat,27,0,30,Urea
29,51,39,Sandy,Barley,7,0,25,28-28
27,54,47,Clayey,Paddy,13,12,31,14-35-14
31,59,37,Sandy,Millets,21,0,0,20-20
28,61,62,Black,Sugarcane,16,5,22,20-20
31,59,45,Red,Ground Nuts,43,0,29,Urea
28,67,42,Clayey,Paddy,27,10,0,Urea
28,61,33,Red,Ground Nuts,20,1,20,20-20
20,54,35,Clayey,Pulses,22,0,13,20-20
26,65,41,Clayey,Paddy,20,2,2,20-20
32,60,59,Sandy,Maize,23,4,28,20-20
37,56,52,Loamy,Wheat,21,8,30,20-20
29,62,29,Red,Tobacco,10,28,31,10-26-26
26,54,45,Sandy,Maize,32,0,26,28-28
29,64,25,Clayey,Pulses,11,0,25,20-20
33,56,60,Loamy,Sugarcane,18,19,14,17-17-17
30,60,34,Sandy,Millets,22,0,36,Urea
33,59,41,Red,Ground Nuts,34,5,37,DAP
21,71,31,Black,Oil seeds,21,0,38,Urea
27,59,41,Black,Millets,27,0,0,Urea
32,64,34,Red,Ground Nuts,33,5,26,Urea
31,64,62,Red,Cotton,22,3,20,DAP
26,51,26,Loamy,Sugarcane,8,3,28,20-20
36,59,48,Sandy,Barley,13,1,17,28-28
29,65,50,Sandy,Barley,16,14,12,17-17-17
34,55,30,Red,Ground Nuts,10,4,16,DAP
35,72,49,Loamy,Wheat,21,1,28,Urea
29,59,61,Sandy,Maize,14,18,15,17-17-17
34,59,47,Loamy,Wheat,21,0,0,Urea
35,55,43,Clayey,Paddy,9,25,27,10-26-26
25,59,54,Sandy,Barley,14,6,41,28-28
29,54,36,Red,Ground Nuts,13,8,34,DAP
31,57,61,Loamy,Sugarcane,0,0,13,20-20
34,54,28,Black,Oil seeds,0,12,16,DAP
32,48,40,Sandy,Barley,13,11,25,28-28
25,60,41,Clayey,Pulses,11,26,22,10-26-26
32,62,46,Clayey,Paddy,10,23,31,10-26-26
29,66,58,Red,Cotton,16,14,37,14-35-14
32,59,33,Red,Tobacco,27,9,24,28-28
30,57,38,Sandy,Barley,11,25,21,10-26-26
27,65,37,Red,Ground Nuts,21,5,16,DAP
29,58,34,Sandy,Millets,26,1,16,DAP
29,41,29,Clayey,Pulses,21,9,4,Urea
27,61,49,Sandy,Barley,5,18,29,DAP
23,50,40,Sandy,Barley,9,24,31,10-26-26
27,54,44,Sandy,Barley,17,0,31,DAP
31,51,56,Loamy,Sugarcane,21,8,1,Urea
34,56,52,Black,Sugarcane,16,16,20,17-17-17
26,44,42,Red,Ground Nuts,52,0,16,DAP
31,54,43,Clayey,Paddy,27,8,16,DAP
28,57,48,Sandy,Maize,0,3,21,28-28
34,48,37,Clayey,Pulses,13,26,24,10-26-26
26,56,41,Sandy,Maize,13,14,33,14-35-14
31,54,36,Sandy,Barley,18,22,30,28-28
27,60,37,Clayey,Pulses,34,1,16,DAP
36,57,62,Red,Cotton,20,8,20,20-20
27,45,33,Sandy,Maize,8,13,16,28-28
30,64,40,Loamy,Sugarcane,21,3,25,Urea
33,55,41,Clayey,Paddy,18,0,16,DAP
28,60,45,Clayey,Paddy,0,0,16,DAP
33,53,61,Red,Cotton,21,6,25,DAP
33,64,60,Black,Cotton,21,9,38,Urea
34,70,54,Loamy,Wheat,30,0,10,Urea
27,64,46,Sandy,Millets,38,1,1,Urea
36,64,34,Black,Oil seeds,28,0,23,Urea
26,68,70,Loamy,Sugarcane,15,19,13,17-17-17
32,58,31,Red,Tobacco,18,12,39,28-28
30,58,39,Loamy,Sugarcane,15,16,13,17-17-17
32,66,34,Red,Tobacco,8,26,27,10-26-26
34,62,28,Red,Tobacco,9,28,21,10-26-26
26,57,32,Clayey,Pulses,12,15,31,14-35-14
25,44,27,Black,Oil seeds,19,2,18,DAP
32,70,37,Sandy,Barley,17,14,13,17-17-17
38,59,50,Sandy,Barley,12,8,27,DAP
30,70,49,Loamy,Wheat,17,3,26,28-28
32,63,36,Clayey,Paddy,8,28,26,10-26-26
33,51,31,Red,Ground Nuts,16,3,21,DAP
21,44,34,Clayey,Pulses,16,4,16,DAP
26,52,27,Red,Ground Nuts,16,19,13,17-17-17
31,64,49,Loamy,Wheat,37,0,6,Urea
30,58,38,Sandy,Millets,44,2,5,28-28
30,52,29,Red,Ground Nuts,19,18,21,17-17-17
26,63,36,Black,Oil seeds,21,0,12,Urea
29,71,32,Red,Ground Nuts,16,15,13,17-17-17
29,58,29,Clayey,Pulses,8,23,31,10-26-26
34,62,51,Loamy,Wheat,21,0,19,Urea
29,48,31,Clayey,Pulses,9,28,21,10-26-26
31,52,41,Sandy,Barley,17,13,30,14-35-14
30,60,58,Loamy,Sugarcane,5,11,4,20-20
33,64,28,Red,Tobacco,22,8,27,28-28
31,57,46,Black,Sugarcane,23,15,37,DAP
32,65,42,Sandy,Barley,10,25,25,10-26-26
31,62,43,Clayey,Paddy,13,28,24,10-26-26
26,52,42,Sandy,Barley,11,10,22,DAP
33,64,26,Red,Tobacco,15,5,16,DAP
38,65,49,Loamy,Wheat,30,3,8,20-20
36,68,48,Loamy,Wheat,36,4,24,Urea
28,59,34,Sandy,Millets,29,0,0,20-20
24,70,42,Sandy,Barley,15,8,27,28-28
30,67,40,Clayey,Paddy,20,7,2,20-20
29,51,31,Black,Oil seeds,11,13,34,14-35-14
31,58,36,Red,Ground Nuts,17,18,13,17-17-17
28,60,65,Black,Cotton,18,9,14,28-28
33,65,63,Black,Sugarcane,21,7,26,Urea
26,55,44,Sandy,Millets,34,0,36,DAP
28,55,39,Clayey,Pulses,14,0,22,28-28
28,57,49,Loamy,Sugarcane,12,4,41,DAP
27,58,62,Red,Cotton,31,10,21,DAP
29,57,46,Black,Millets,0,0,16,DAP
32,56,46,Sandy,Barley,19,12,28,DAP
33,60,63,Loamy,Cotton,16,12,36,14-35-14
27,58,48,Loamy,Wheat,52,0,38,20-20
24,58,40,Black,Sugarcane,14,0,0,20-20
33,53,44,Clayey,Paddy,21,4,25,Urea
32,63,63,Black,Cotton,33,2,38,DAP
36,52,41,Loamy,Sugarcane,14,17,16,17-17-17
28,55,61,Black,Cotton,12,12,34,14-35-14
25,48,21,Red,Ground Nuts,14,19,13,17-17-17
30,59,32,Clayey,Pulses,25,0,25,28-28
29,59,35,Sandy,Maize,11,11,40,14-35-14
38,55,35,Black,Oil seeds,21,0,11,Urea
34,69,39,Clayey,Paddy,25,0,6,20-20
34,56,43,Black,Millets,24,0,26,28-28
27,64,45,Sandy,Barley,16,16,43,DAP
31,57,46,Clayey,Paddy,11,28,22,10-26-26
28,56,28,Clayey,Pulses,7,27,23,10-26-26
31,65,34,Sandy,Barley,12,17,40,14-35-14
33,65,41,Clayey,Paddy,21,12,3,Urea
27,65,40,Clayey,Paddy,26,16,24,Urea
26,65,43,Loamy,Sugarcane,9,0,17,20-20
31,50,50,Loamy,Sugarcane,22,0,0,20-20
30,67,47,Sandy,Maize,26,4,49,28-28
33,57,38,Clayey,Paddy,50,0,21,Urea
31,53,40,Sandy,Millets,11,17,30,14-35-14
32,70,46,Loamy,Wheat,35,5,9,20-20
33,62,28,Sandy,Maize,28,0,23,28-28
32,60,54,Black,Sugarcane,14,17,35,14-35-14
33,54,40,Sandy,Millets,21,1,4,Urea
24,69,58,Black,Sugarcane,13,0,25,20-20
30,57,62,Black,Cotton,24,7,28,20-20
31,78,47,Loamy,Wheat,40,0,32,DAP
34,60,63,Loamy,Cotton,14,10,30,DAP
36,70,51,Loamy,Wheat,33,0,11,Urea
31,58,46,Loamy,Sugarcane,16,16,22,17-17-17
34,58,54,Loamy,Sugarcane,12,16,35,14-35-14
29,70,32,Black,Oil seeds,11,15,34,14-35-14
33,66,32,Red,Tobacco,16,19,18,17-17-17
30,47,49,Loamy,Sugarcane,13,0,45,DAP
32,63,63,Red,Cotton,19,19,15,17-17-17
28,59,62,Loamy,Cotton,21,0,19,Urea
33,51,39,Sandy,Barley,17,17,14,17-17-17
31,72,42,Clayey,Paddy,22,10,24,DAP
32,56,45,Clayey,Paddy,14,14,36,14-35-14
34,67,32,Red,Ground Nuts,0,5,33,DAP
28,76,48,Loamy,Wheat,33,0,0,Urea
33,61,33,Red,Ground Nuts,20,17,22,17-17-17
26,55,36,Sandy,Millets,21,0,0,Urea
33,59,62,Red,Cotton,18,0,16,DAP
26,61,65,Black,Cotton,18,18,20,17-17-17
30,67,26,Black,Oil seeds,24,2,36,DAP
30,47,25,Black,Oil seeds,32,0,2,Urea
27,51,36,Clayey,Pulses,9,24,21,10-26-26
35,68,35,Sandy,Barley,11,9,41,DAP
31,57,42,Sandy,Barley,13,9,19,28-28
32,55,64,Black,Cotton,17,9,35,20-20
21,69,35,Red,Ground Nuts,37,0,16,DAP
31,67,34,Sandy,Barley,19,4,26,28-28
20,64,35,Sandy,Barley,13,14,25,DAP
30,68,43,Clayey,Paddy,16,16,33,14-35-14
29,70,32,Sandy,Maize,17,13,39,28-28
30,60,44,Black,Sugarcane,21,5,0,Urea
25,60,40,Sandy,Millets,14,0,16,DAP
34,60,33,Red,Tobacco,13,4,22,28-28
25,50,37,Sandy,Maize,4,3,23,28-28
31,53,62,Red,Cotton,21,5,0,Urea
29,61,33,Clayey,Pulses,11,9,0,20-20
28,56,64,Red,Cotton,2,0,39,DAP
33,59,41,Black,Sugarcane,9,25,30,10-26-26
26,60,28,Clayey,Pulses,11,24,25,10-26-26
26,64,62,Black,Cotton,19,17,14,17-17-17
28,66,37,Red,Ground Nuts,18,14,22,17-17-17
31,59,29,Red,Tobacco,18,12,6,28-28
30,61,38,Clayey,Paddy,42,6,32,DAP
24,63,38,Clayey,Pulses,20,0,0,20-20
32,46,35,Clayey,Pulses,31,4,0,20-20
25,59,41,Clayey,Paddy,21,1,9,Urea
32,61,50,Loamy,Wheat,8,26,29,10-26-26
30,57,44,Sandy,Maize,16,14,31,14-35-14
36,71,51,Loamy,Wheat,12,8,23,20-20
31,58,32,Sandy,Maize,13,27,27,10-26-26
28,57,42,Clayey,Paddy,32,0,0,28-28
26,57,64,Black,Cotton,9,2,27,DAP
28,58,63,Black,Sugarcane,18,16,16,17-17-17
31,58,34,Black,Oil seeds,11,15,38,14-35-14
30,56,33,Red,Tobacco,39,0,35,28-28
29,59,29,Black,Sugarcane,17,5,16,DAP
35,53,29,Black,Oil seeds,0,0,13,20-20
30,54,40,Clayey,Paddy,13,14,40,14-35-14
29,61,43,Loamy,Sugarcane,20,0,25,20-20
31,70,49,Loamy,Wheat,4,9,0,20-20
30,50,30,Black,Oil seeds,17,12,34,14-35-14
27,69,41,Clayey,Paddy,6,0,7,28-28
25,45,31,Red,Ground Nuts,21,0,8,Urea
30,60,32,Black,Sugarcane,19,17,12,17-17-17
27,58,36,Sandy,Maize,15,1,16,28-28
30,56,60,Loamy,Sugarcane,12,5,16,DAP
